Sample,SRR8181562,SRR8181563,SRR8181564,SRR8181565,SRR8181566,SRR8181567,SRR5639640,SRR6181120,SRR6181121,SRR6181136,SRR6181137,SRR7243508,SRR7243509,SRR7243510,SRR7243511,SRR7243512,SRR7243513,SRR7243556,SRR7243557,SRR7243558,SRR7243559,SRR7243560,SRR7243561,SRR7243938,SRR7243939,SRR7243954,SRR7243955,SRR8181550,SRR8181551,SRR8181552,SRR8181556,SRR8181557,SRR8181558,SRR8181559,SRR8181560,SRR8181561,SRR1707771,SRR1707772,SRR1707773,SRR1707774,SRR1707775,SRR1707776,SRR1707777,SRR1707778,SRR1707779,SRR1707780,SRR1707781,SRR1707782,SRR1707783,SRR1707784,SRR1707785,SRR1707786,SRR5400307,SRR5400308,SRR5400309,SRR5400313,SRR5400314,SRR5400315,SRR8181568,SRR8181569,SRR8181570,SRR8181571,SRR8181572,SRR8181573,SRR1707763,SRR1707764,SRR1707765,SRR1707766,SRR1707767,SRR1707768,SRR1707769,SRR1707770,SRR6671610,SRR6671611,SRR6671612,SRR6671613,SRR6671614,SRR6671615,SRR6671616,SRR6671617,SRR6671618,SRR6671619,SRR3477312,SRR3477313,SRR3477314,SRR3477315,SRR3477316,SRR3477317,SRR3477318,SRR3477319,SRR3477320,SRR3477321,SRR3477322,SRR3477323,SRR8181574,SRR8181575,SRR8181576,SRR8181577,SRR8181578,SRR8181579,SRR1707787,SRR1707788,SRR1707789,SRR1707790,SRR1707791,SRR1707792,SRR1707793,SRR1707794
Group,middle,middle,middle,middle,middle,middle,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,young,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,middle,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old,old
FBgn0041094,473,436,495,507,605,510,1176,1008,2485,1174,1150,1112,1139,1048,999,2252,1236,1557,1060,1756,1042,1587,636,915,1478,847,1088,1131,1336,1022,472,390,480,502,407,426,3689,2906,515,1679,3204,3213,2159,1554,5395,2608,390,945,122,2738,4114,2409,1355,1516,1243,1133,1157,1309,453,455,485,449,470,435,42,219,345,214,308,278,340,410,1574,1973,1518,1767,1750,2197,2188,2770,1742,2077,14275,13969,11799,12125,14167,15479,12076,12922,12472,12798,10787,10773,600,645,684,634,429,466,160,383,1367,2252,659,564,1101,1004
FBgn0050022,59,59,54,50,63,51,246,193,385,264,220,176,165,162,143,354,175,356,253,415,212,316,128,179,254,228,238,119,171,123,43,37,42,42,38,42,697,524,146,512,941,697,581,292,876,684,70,212,88,473,759,407,187,223,187,174,189,202,76,77,79,82,52,60,4,22,72,32,50,48,76,66,175,257,172,186,205,277,298,418,288,353,855,844,639,601,801,929,709,837,822,851,750,655,107,72,104,95,76,92,38,107,384,1346,197,80,368,417
FBgn0051320,12,6,4,9,11,8,39,61,144,49,49,65,71,45,59,138,60,42,45,67,47,54,22,59,61,44,37,24,35,16,8,3,5,8,8,7,86,87,18,44,73,84,58,45,119,61,10,19,6,56,79,50,21,23,23,36,19,34,6,9,10,7,2,14,0,7,4,4,9,7,10,10,33,40,36,27,47,48,56,79,39,61,350,332,481,389,514,568,366,494,404,297,330,398,14,15,13,13,10,9,3,11,46,68,17,20,36,31
FBgn0052579,14,12,16,14,18,11,77,68,90,76,72,62,56,52,32,84,35,76,73,134,71,64,35,64,41,85,75,40,45,27,11,12,12,14,7,20,160,221,44,124,213,164,100,83,202,176,24,49,15,144,192,85,67,74,68,54,61,64,13,9,7,10,13,11,5,15,16,13,12,23,25,22,20,27,16,16,26,23,50,62,48,53,325,375,525,541,511,628,454,544,533,372,535,564,19,24,28,20,18,15,9,23,87,242,36,36,47,75
FBgn0053260,7,13,12,9,10,10,14,16,17,13,9,12,15,7,11,17,18,21,13,20,7,28,5,14,6,14,14,6,12,5,11,3,12,9,7,13,19,29,5,3,23,22,24,9,22,19,7,7,0,18,29,8,10,24,25,16,23,20,13,5,5,7,6,7,0,1,2,1,1,3,1,3,31,35,33,23,29,45,60,86,42,49,272,259,185,196,228,217,209,187,183,143,151,142,7,12,7,7,9,7,0,1,7,7,3,5,6,15
FBgn0053977,27,28,27,18,43,24,42,50,61,26,39,29,25,33,27,50,29,29,18,32,28,38,13,39,46,24,28,23,33,33,18,17,18,27,15,15,74,112,13,46,132,76,40,38,114,93,5,15,32,76,130,61,60,66,60,28,39,37,31,24,23,23,27,21,0,10,11,3,10,13,18,10,146,190,108,147,146,160,296,380,236,286,1114,1335,631,603,839,902,728,854,818,830,683,547,33,28,23,31,20,32,5,8,73,155,15,15,58,53
FBgn0086680,183,174,174,146,248,189,432,354,765,453,361,439,414,363,362,745,387,438,441,496,351,590,200,348,495,339,412,286,335,262,141,122,170,172,151,166,1110,1173,247,785,1247,1114,739,598,1389,1017,172,320,33,961,1557,631,530,603,538,432,475,504,135,149,176,166,164,161,10,75,98,74,55,80,68,165,526,667,541,653,679,767,736,987,645,852,2969,2931,2615,2498,3107,3105,2549,2608,2239,2572,2079,1866,213,247,256,244,169,194,67,127,395,587,219,185,291,310
FBgn0260747,432,416,328,387,430,431,1784,2536,3018,2324,1645,1959,1856,1684,1292,2977,1758,2485,2242,4457,1611,1823,1049,2475,2173,2302,1755,1073,1229,1075,334,290,376,391,315,333,4364,5170,1124,2382,6030,4033,3379,2365,6088,4636,694,1446,898,3685,5984,3822,1200,1307,1257,1118,1154,1175,483,454,416,414,438,453,73,268,433,227,383,409,483,451,1026,1225,1048,1190,1363,1659,1605,1989,1478,1903,8183,7462,6841,7181,8460,8322,7136,7471,7467,5044,4789,4648,477,490,602,568,491,533,250,532,3355,8415,1205,868,1961,2760
FBgn0260866,174,167,112,139,173,155,598,663,1281,604,617,673,756,620,671,1192,665,685,553,956,545,727,344,617,818,414,553,410,449,370,166,156,167,192,211,185,1263,1003,193,661,1395,1382,940,553,1497,951,178,389,59,1387,1952,738,672,744,621,545,511,673,200,212,144,143,160,149,12,52,132,105,88,81,137,178,543,635,561,649,638,797,695,841,584,680,2562,2880,3161,3316,4278,5031,2721,4010,4390,2894,2934,3474,195,199,220,217,151,149,68,96,489,1029,273,178,384,485
FBgn0261976,13,18,11,7,19,7,32,73,96,50,33,42,47,56,38,96,52,42,46,82,30,72,27,72,37,71,32,51,64,44,6,12,8,9,7,15,85,149,27,67,140,86,71,48,132,111,18,43,21,72,130,72,45,54,38,53,44,51,15,14,15,12,26,22,1,7,28,12,15,5,22,13,14,10,7,9,5,8,21,19,16,18,138,163,164,152,170,174,200,192,143,129,128,94,13,9,21,26,20,26,8,21,80,179,20,32,60,56
FBgn0283472,236,181,192,207,243,241,581,761,1366,721,649,673,702,698,467,1322,758,705,635,945,570,791,320,720,725,508,539,554,658,588,176,158,198,158,190,181,1801,1688,315,976,1676,1414,946,757,2053,1534,218,476,95,1218,1934,1082,614,717,490,623,630,619,188,221,239,218,182,225,21,110,177,99,121,127,106,205,725,930,624,764,776,1019,1141,1383,845,1108,5250,5561,4816,4993,5622,6246,5102,5308,4733,4995,4478,4442,281,297,315,284,229,243,80,185,581,1116,289,286,410,420
